average salary,job title,seniority,location,company name,size,type of ownership,python,rstudio,sql,aws,pytorch,sas,excel
94500.0,data analyst,unspecified,Waterloo,Ontario Teachers Insurance Plan,501 to 1000 employees,Non-profit Organisation,0,0,1,0,0,0,1
94500.0,data scientist,unspecified,Toronto,AIR MILES,501 to 1000 employees,Company - Private,1,0,1,1,0,0,0
94500.0,data scientist,unspecified,Toronto,Rubikloud Technologies,51 to 200 employees,Company - Private,1,0,1,1,0,0,0
94500.0,data scientist,unspecified,Toronto,Nielsen,10000+ employees,Company - Public,1,0,1,1,0,0,1
94500.0,data analyst,unspecified,Edmonton,ATB Financial,5001 to 10000 employees,Company - Private,1,0,1,1,0,1,1
94500.0,data scientist,unspecified,Vancouver,Asana,501 to 1000 employees,Company - Private,1,0,1,1,0,0,0
94500.0,data scientist,unspecified,Tiverton,Bruce Power,1001 to 5000 employees,Company - Private,0,0,0,0,0,0,0
94500.0,data scientist,unspecified,Thorold,SomaDetect,1 to 50 employees,Company - Private,1,0,1,1,0,0,1
94500.0,data scientist,unspecified,Toronto,Home Trust,501 to 1000 employees,Company - Public,1,0,0,1,0,0,1
94500.0,data scientist,unspecified,Halifax,The Headhunters,1 to 50 employees,Company - Private,1,0,1,1,0,0,1
94500.0,data scientist,junior,Ottawa,Office of the Auditor General of Canada,501 to 1000 employees,Government,1,0,0,1,0,1,0
94500.0,data scientist,senior,Montreal,Hopper,501 to 1000 employees,Company - Private,0,0,1,0,0,1,0
94500.0,data scientist,unspecified,Montreal,Zesty.ai,1 to 50 employees,Company - Private,0,0,1,0,1,1,0
94500.0,data scientist,junior,Moncton,Fiddlehead,1 to 50 employees,Company - Public,1,0,0,1,0,0,0
94500.0,data scientist,unspecified,Ottawa,Canadian Security Intelligence Service,1 to 50 employees,Government,1,0,0,1,0,0,0
94500.0,data scientist,unspecified,Canada,Jungle Scout,51 to 200 employees,Company - Private,1,0,1,1,1,0,0
94500.0,data scientist,unspecified,Calgary,NDAX INC,1 to 50 employees,Company - Public,1,0,0,1,0,0,0
94500.0,data scientist,unspecified,Vancouver,Thrive Health,1 to 50 employees,Company - Private,0,0,0,0,0,0,1
94500.0,data scientist,unspecified,Ottawa,Bank of Canada,1001 to 5000 employees,Government,1,0,1,1,0,0,0
94500.0,data scientist,unspecified,Montreal,DRW Trading Group,1001 to 5000 employees,Company - Private,1,0,1,1,1,0,1
94500.0,data scientist,unspecified,Toronto,Aviva,10000+ employees,Company - Public,1,0,0,1,0,0,0
94500.0,data scientist,unspecified,Toronto,Precision Nutrition,51 to 200 employees,Company - Private,1,0,1,1,0,0,1
94500.0,data scientist,unspecified,Toronto,RBC,10000+ employees,Company - Public,1,0,1,1,0,0,0
94500.0,data scientist,unspecified,Ontario,Amazon,10000+ employees,Company - Public,1,0,1,1,0,0,1
94500.0,data scientist,unspecified,Vancouver,Electronic Arts,5001 to 10000 employees,Company - Public,1,0,1,1,0,0,0
94500.0,data scientist,unspecified,Victoria,Ingrooves,51 to 200 employees,Company - Private,1,0,1,1,1,0,1
94500.0,data scientist,unspecified,Canada,Liquid Analytics,1 to 50 employees,Company - Private,1,0,0,1,0,0,0
94500.0,data scientist,unspecified,Newmarket,York Region,1001 to 5000 employees,Government,1,0,1,1,0,0,1
94500.0,data scientist,unspecified,Toronto,Assurance Careers,51 to 200 employees,Company - Private,1,0,1,1,0,0,1
94500.0,data scientist,unspecified,Montreal,Delan,1 to 50 employees,Company - Private,1,0,0,1,0,0,0
80500.0,data scientist,unspecified,Woodbridge,Fuze HR Solutions,51 to 200 employees,Company - Private,1,0,0,1,0,1,0
80500.0,data scientist,unspecified,Toronto,Knowtions Research,Unknown,Company - Private,1,0,1,1,0,1,0
80500.0,data scientist,unspecified,Montreal,Behaviour Interactive,201 to 500 employees,Company - Private,1,0,1,1,0,0,0
80500.0,data scientist,unspecified,Vancouver,Aquatic Informatics,51 to 200 employees,Company - Private,1,0,0,1,1,0,1
